2014 174 0000
-0.33309-0.06309 0.21791 1.46690 1.43960
-0.33220-0.06415 0.21642 1.46690 1.43960
-0.33158-0.06487 0.21619 1.46690 1.43960
-0.33188-0.06585 0.21866 1.46690 1.43940
-0.33135-0.06584 0.21878 1.46690 1.43960
-0.33098-0.06635 0.21826 1.46690 1.43940
-0.33087-0.06656 0.21878 1.46690 1.43940
-0.32975-0.06659 0.21832 1.46690 1.43960
-0.32907-0.06637 0.21801 1.46690 1.43960
-0.32869-0.06604 0.21647 1.46690 1.43960
-0.32844-0.06552 0.21639 1.46690 1.43960
-0.32815-0.06527 0.21551 1.46690 1.43940
-0.32720-0.06520 0.21475 1.46690 1.43940
-0.32718-0.06478 0.21376 1.46690 1.43960
-0.32723-0.06466 0.21141 1.46690 1.43960
-0.32711-0.06426 0.21368 1.46690 1.43940
-0.32670-0.06416 0.21288 1.46690 1.43940
-0.32655-0.06446 0.21055 1.46690 1.43940
-0.32659-0.06398 0.21218 1.46690 1.43940
-0.32634-0.06420 0.21011 1.46690 1.43960
-0.32632-0.06376 0.21065 1.46690 1.43940
-0.32736-0.06353 0.21272 1.46690 1.43940
-0.32733-0.06407 0.21211 1.46690 1.43940
-0.32702-0.06454 0.21061 1.46690 1.43940
-0.32725-0.06532 0.21057 1.46690 1.43960
-0.32715-0.06478 0.21082 1.46690 1.43960
-0.32714-0.06504 0.21148 1.46690 1.43960
-0.32724-0.06445 0.21190 1.46700 1.43940
-0.32713-0.06375 0.21299 1.46690 1.43940
-0.32702-0.06322 0.21192 1.46690 1.43940
-0.32623-0.06328 0.21058 1.46700 1.43960
-0.32588-0.06318 0.21028 1.46690 1.43940
-0.32518-0.06329 0.20765 1.46690 1.43940
-0.32452-0.06239 0.20634 1.46690 1.43940
-0.32433-0.06200 0.20880 1.46690 1.43940
-0.32425-0.06126 0.20605 1.46700 1.43940
-0.32388-0.06111 0.20497 1.46700 1.43940
-0.32397-0.06024 0.20450 1.46690 1.43940
-0.32436-0.05896 0.20422 1.46700 1.43940
-0.32430-0.05869 0.20671 1.46690 1.43940
-0.32468-0.05887 0.20635 1.46700 1.43940
-0.32503-0.05929 0.20747 1.46700 1.43940
-0.32465-0.06039 0.20487 1.46700 1.43940
-0.32492-0.06081 0.20517 1.46700 1.43940
-0.32454-0.06128 0.20470 1.46700 1.43960
-0.32497-0.06113 0.20910 1.46700 1.43940
-0.32535-0.06161 0.20976 1.46690 1.43940
-0.32548-0.06231 0.20913 1.46690 1.43940
-0.32548-0.06246 0.20884 1.46700 1.43940
-0.32529-0.06285 0.20792 1.46700 1.43940
-0.32502-0.06346 0.20586 1.46700 1.43940
-0.32497-0.06347 0.20697 1.46690 1.43940
-0.32477-0.06295 0.20647 1.46700 1.43940
-0.32488-0.06240 0.20690 1.46700 1.43940
-0.32433-0.06225 0.20601 1.46700 1.43940
-0.32443-0.06203 0.20611 1.46700 1.43940
-0.32476-0.06263 0.20598 1.46690 1.43940
-0.32431-0.06255 0.20596 1.46700 1.43940
-0.32414-0.06239 0.20672 1.46690 1.43940
-0.32415-0.06300 0.20678 1.46690 1.43940
2014 174 0060
-0.32382-0.06352 0.20572 1.46690 1.43940
-0.32378-0.06308 0.20676 1.46690 1.43940
-0.32350-0.06267 0.20596 1.46690 1.43940
-0.32311-0.06214 0.20561 1.46690 1.43940
-0.32342-0.06208 0.20552 1.46690 1.43940
-0.32335-0.06223 0.20623 1.46690 1.43940
-0.32309-0.06190 0.20644 1.46690 1.43940
-0.32290-0.06218 0.20622 1.46690 1.43940
-0.32280-0.06164 0.20702 1.46690 1.43940
-0.32226-0.06159 0.20573 1.46690 1.43940
-0.32216-0.06177 0.20516 1.46690 1.43940
-0.32129-0.06133 0.20463 1.46690 1.43940
-0.32088-0.06150 0.20360 1.46690 1.43940
-0.31999-0.06083 0.20333 1.46690 1.43940
-0.31993-0.06048 0.20382 1.46690 1.43940
-0.31961-0.06090 0.20355 1.46690 1.43940
-0.31919-0.06112 0.20175 1.46690 1.43940
-0.31822-0.06134 0.20235 1.46690 1.43940
-0.31768-0.06079 0.20198 1.46690 1.43940
-0.31691-0.06070 0.20209 1.46690 1.43940
-0.31698-0.06092 0.20133 1.46690 1.43940
-0.31638-0.06128 0.20133 1.46690 1.43940
-0.31662-0.06127 0.20158 1.46690 1.43940
-0.31622-0.06107 0.20166 1.46690 1.43940
-0.31664-0.06134 0.20125 1.46690 1.43940
-0.31662-0.06199 0.20083 1.46690 1.43940
-0.31599-0.06220 0.20079 1.46690 1.43940
-0.31577-0.06231 0.20037 1.46690 1.43940
-0.31556-0.06274 0.20039 1.46690 1.43940
-0.31485-0.06248 0.19982 1.46690 1.43940
-0.31393-0.06156 0.20020 1.46690 1.43940
-0.31452-0.06206 0.19965 1.46690 1.43940
-0.31449-0.06144 0.20035 1.46690 1.43940
-0.31443-0.06157 0.19915 1.46690 1.43940
-0.31455-0.06160 0.19914 1.46690 1.43940
-0.31344-0.06135 0.19878 1.46690 1.43940
-0.31290-0.06110 0.19883 1.46690 1.43940
-0.31280-0.06121 0.19760 1.46690 1.43940
-0.31266-0.06056 0.19767 1.46690 1.43940
-0.31139-0.05961 0.19762 1.46690 1.43940
-0.31209-0.05912 0.19676 1.46690 1.43940
-0.31147-0.05905 0.19588 1.46690 1.43940
-0.31070-0.05864 0.19558 1.46690 1.43940
-0.31146-0.05928 0.19580 1.46690 1.43940
-0.31150-0.05873 0.19639 1.46690 1.43940
-0.31091-0.05907 0.19639 1.46690 1.43940
-0.31056-0.05913 0.19654 1.46690 1.43940
-0.31094-0.05902 0.19659 1.46690 1.43940
-0.31067-0.05961 0.19629 1.46690 1.43940
-0.31045-0.05978 0.19683 1.46690 1.43940
-0.31027-0.06021 0.19681 1.46690 1.43940
-0.30964-0.06046 0.19744 1.46690 1.43940
-0.31025-0.05996 0.19734 1.46690 1.43940
-0.31009-0.05987 0.19743 1.46690 1.43940
-0.31017-0.05969 0.19749 1.46690 1.43940
-0.31066-0.05940 0.19779 1.46690 1.43940
